Authors;Title;type;Link;Code;available;as;aim;documentation;doc_length;year;source;gh;pid;print;Links_2023-08-22;license;metadata
"Stacey Middleton,
Rebecca Phillipps";Experimental Improvements to the Volume Ratio and Quantifying Movement Using Stone Artefact Analysis;Research Article;https://doi.org/10.5334/jcaa.93;R Code;no;;;;;2022;journal website;;;;;;
"Abigail Desmond,
Ian Cartwright,
Richard Allen";Documenting Functional Use-Wear on Bone Tools: An RTI Approach;Research Article;https://doi.org/10.5334/jcaa.80;no;no;;;;;2021;journal website;;;;;;
"Dan Trepal,
Don Lafreniere,
Timothy Stone";Mapping Historical Archaeology and Industrial Heritage: The Historical Spatial Data Infrastructure;Case Study;https://doi.org/10.5334/jcaa.77;no;no;;;;;2021;journal website;;;;;;
Samuel Andrew Hardy;It Is Not against the Law, if No-One Can See You: Online Social Organisation of Artefact-Hunting in Former Yugoslavia;Research Article;https://doi.org/10.5334/jcaa.76;?;no;;;;;2021;journal website;;;;;;
"Alexandre Guyot,
Marc Lennon,
Thierry Lorho,
Laurence Hubert-Moy";Combined Detection and Segmentation of Archeological Structures from LiDAR Data Using a Deep Learning Approach;Research Article;https://doi.org/10.5334/jcaa.64;Python?;no;;;;;2021;journal website;;;;;;
"Jose Iriarte,
Mark Robinson,
Jonas de Souza,
Antonia Damasceno,
Franciele da Silva,
Francisco Nakahara,
Alceu Ranzi,
Luiz Aragao";Geometry by Design: Contribution of Lidar to the Understanding of Settlement Patterns of the Mound Villages in SW Amazonia;Case Study;https://doi.org/10.5334/jcaa.45;no;no;;;;;2020;journal website;;;;;;
"Juan C. Fernandez-Diaz,
Anna S. Cohen";Whose Data Is It Anyway? Lessons in Data Management and Sharing from Resurrecting and Repurposing Lidar Data for Archaeology Research in Honduras;Case Study;https://doi.org/10.5334/jcaa.51;no;no;;;;;2020;journal website;;;;;;
"Michael Doneus,
Gottfried Mandlburger,
Nives Doneus";Archaeological Ground Point Filtering of Airborne Laser Scan Derived Point-Clouds in a Difficult Mediterranean Environment;Research Article;https://doi.org/10.5334/jcaa.44;no? SCOP++ ;no;;;;;2020;journal website;;;;;;
"Sean Field,
Carrie Heitman,
Heather Richards-Rissetto";A Least Cost Analysis: Correlative Modeling of the Chaco Regional Road System;Case Study;https://doi.org/10.5334/jcaa.36;no, ArcGIS;;;;;;2019;journal website;;;;;;
"Samantha Thi Porter, 
Morgan Roussel,
Marie Soressi";A Comparison of Châtelperronian and Protoaurignacian Core Technology Using Data Derived from 3D Models;Case Study;https://doi.org/10.5334/jcaa.17;no, ChainCoder;;;;;;2019;journal website;;;;;;
"Wouter Baernd Verschoof-van der Vaart,
Karsten Lambers";Learning to Look at LiDAR: The Use of R-CNN in the Automated Detection of Archaeological Objects in LiDAR Data from the Netherlands;Research Article;https://doi.org/10.5334/jcaa.32;Python?;No, but teasered;;;;;2019;journal website;;;;;;
"Alex Brandsen,
Karsten Lambers,
Suzan Verberne,
Milco Wansleeben";User Requirement Solicitation for an Information Retrieval System Applied to Dutch Grey Literature in the Archaeology Domain;Research Article;https://doi.org/10.5334/jcaa.33;yes;No, but teasered;;;;;2019;journal website;;;;;;
Tutku Tuncali Yaman;A Model-Based Statistical Classification Analysis for Karamattepe Arrowheads;Research Article;https://doi.org/10.5334/jcaa.20;SPSS 24;printed;script;article reproducibility;none;little;2019;journal website;;y;y;y;no;no
Willem Vletter;First Steps in the Use of a Game Engine for Historical Roads and Paths Research;Research Article;https://doi.org/10.5334/jcaa.18;Java, C#, Booh;no;;;;;2019;journal website;;;;;;
Kenneth Kvamme;Getting Around the Black Box: Teaching (Geophysical) Data Processing through GIS;Research Article;https://doi.org/10.5334/jcaa.14;no;no;;;;;2018;journal website;;;;;;
"Rebecca J.S. Cannell,
Lars Gustavsen,
Monica Kristiansen,
Erich Nau";Delineating an Unmarked Graveyard by High-Resolution GPR and pXRF Prospection: The Medieval Church Site of Furulund in Norway;Research Article;https://doi.org/10.5334/jcaa.9;no, ArcGIS;no;;;;;2018;journal website;;;;;;
